Geracao,ID_Original,Cromossomo,Distancia_KM,Tempo_H,Pedagio_R$
1,6,2 - 3 - 0 - 1 - 8 - 4 - 5 - 7 - 9 - 6,407.92,86.50,329.00
1,37,9 - 1 - 2 - 3 - 0 - 6 - 4 - 7 - 5 - 8,520.15,120.50,273.00
1,45,0 - 6 - 9 - 1 - 2 - 3 - 8 - 4 - 5 - 7,489.67,97.50,308.00
2,0,7 - 8 - 9 - 6 - 3 - 0 - 1 - 2 - 4 - 5,377.34,76.50,305.00
2,1,8 - 5 - 7 - 4 - 2 - 1 - 0 - 6 - 9 - 3,481.92,96.50,288.00
2,2,1 - 2 - 3 - 8 - 5 - 7 - 4 - 6 - 9 - 0,465.47,102.50,228.00
3,0,7 - 8 - 9 - 6 - 3 - 0 - 1 - 2 - 4 - 5,377.34,76.50,305.00
3,1,8 - 5 - 7 - 4 - 2 - 1 - 0 - 6 - 9 - 3,481.92,96.50,288.00
3,2,1 - 2 - 3 - 8 - 5 - 7 - 4 - 6 - 9 - 0,465.47,102.50,228.00
3,3,8 - 5 - 7 - 4 - 2 - 1 - 0 - 6 - 9 - 3,481.92,96.50,288.00
3,4,3 - 4 - 6 - 9 - 5 - 7 - 8 - 2 - 0 - 1,414.54,91.00,296.00
3,5,2 - 3 - 1 - 7 - 4 - 5 - 8 - 9 - 6 - 0,418.43,85.00,301.00
3,6,7 - 5 - 2 - 3 - 1 - 0 - 4 - 6 - 9 - 8,457.48,106.00,295.00
4,0,7 - 8 - 9 - 6 - 3 - 0 - 1 - 2 - 4 - 5,377.34,76.50,305.00
4,1,1 - 2 - 3 - 8 - 5 - 7 - 4 - 6 - 9 - 0,465.47,102.50,228.00
4,2,3 - 4 - 6 - 9 - 5 - 7 - 8 - 2 - 0 - 1,414.54,91.00,296.00
4,3,2 - 3 - 1 - 7 - 4 - 5 - 8 - 9 - 6 - 0,418.43,85.00,301.00
4,4,2 - 3 - 1 - 7 - 4 - 5 - 8 - 9 - 6 - 0,418.43,85.00,301.00
4,5,0 - 1 - 3 - 4 - 6 - 9 - 5 - 7 - 8 - 2,414.54,91.00,296.00
4,6,8 - 7 - 0 - 6 - 9 - 1 - 3 - 2 - 4 - 5,460.32,94.00,273.00
